year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2013;South Dakota;500;816;1494;4132;316;2638
2013;Tennessee;6121;9399;12532;30491;3278;17959
2013;Texas;17483;29518;37364;100927.902994;12035;63563.902994
2013;Utah;1435;2184;3462;12089;749;8627
2013;Vermont;775;1404;1695;4965;629;3270
2013;Virginia;3772.1;7634.4;9545.7;45736.7;3862.3;36191
2013;Washington;1993;4037;8100;33996;2044;25896
2013;West Virginia;2143;3008;4075;22320;865;18245
2013;Wisconsin;4435.4;7341.2;10815.1;42769.1;2905.8;31954
2013;Wyoming;309;604;2354;9132;295;6778
2014;Alabama;3920;5811;9360;24992;1891;15632
2014;Alaska;817.3030362465;1422.99620961;2705.74;11399.44;605.6931733635;8693.7
2014;Arizona;7115;9330;13488;35911;2215;22423
2014;Arkansas;3802.2;5023.7;6503.3;22763.4;1221.5;16260.1
2014;California;37769;65215;72583;215393;27446;142810
2014;Colorado;3489;7216;7859;31346;3727;23487
2014;Connecticut;2992;6771;5332;28140.5;3779;22808.5
2014;Delaware;1001;1665;1903;9608;664;7705
2014;Florida;12716;21787;24354;68033;9071;43679
2014;Georgia;6236;9375;13184;43445;3139;30261
2014;Hawaii;1112;1956;2170;12607;844;10437
2014;Idaho;1262;1920;2614;6865;658;4251
2014;Illinois;8286.07727252;16092.28961957;13713.07727252;61189.28961957;7806.21234705;47476.21234705
2014;Indiana;6225;8719;9978;27260;2494;17282
2014;Iowa;2390;4251;5928;19531;1861;13603
2014;Kansas;1583;3303;3900;14723;1720;10823
2014;Kentucky;5042;6934;9767;27833;1892;18066
2014;Louisiana;4667.85934;7308.802628;8993.375;27271.595;2640.943288;18278.22
2014;Maine;1767;2780;2697;8088;1013;5391
2014;Maryland;4807;8560;10514;38036;3753;27522
2014;Massachusetts;5542;12044;7926;56329.5680498;6502;48403.5680498
2014;Michigan;9269.8;13688;18152.1;49656;4418.2;31503.9
2014;Minnesota;5143;9750;8938;33451.367;4607;24513.367
2014;Mississippi;3312;4568;7540;18467;1256;10927
2014;Missouri;4243;8299;7208;23158;4056;15950
2014;Montana;714;1055;2149;6188;341;4039
2014;Nebraska;1006.2;1856.9;2911;10540.9;850.7;7629.9
2014;Nevada;1363;2027;2859;9416;664;6557
2014;New Hampshire;660;1326;1701;5146;666;3445
2014;New Jersey;6920;11924;13372;53155;5004;39783
2014;New Mexico;3063;4172;6028.1;16093.3;1109;10065.2
2014;New York;24237;39972;41171;137526;15735;96355
2014;North Carolina;8432.7;13303.1;12774.94;43052.9827;4870.4;30278.0427
2014;North Dakota;421;782;1523;6592;361;5069
2014;Ohio;6317.213884;21940.868774;13045.830026;61221.528009;15623.65489;48175.697983
2014;Oklahoma;3230;5475;7523;22301;2245;14778
2014;Oregon;4623;6756;8101.96716;32383.332757;2133;24281.365597
2014;Pennsylvania;12997;24144;22749;68136;11147;45387
2014;Puerto Rico;;0;0;0;;0
2014;Rhode Island;1190;2219;2676;8944;1029;6268
2014;South Carolina;3909;5428;7542;22040;1519;14498
2014;South Dakota;511;823;1418;4108;312;2690
2014;Tennessee;5869;9392;12200;30702;3523;18502
2014;Texas;19693;33224;38444;112250.2;13531;73806.2
2014;Utah;1593;2381;3497;12184;788;8687
2014;Vermont;797;1411;1760;5271;614;3511
2014;Virginia;3960.577253;7894.608496;9568.128674;45857.164882;3934.031243;36289.036208
2014;Washington;3712;6101;9631;36867;2389;27236
2014;West Virginia;2612;3534;3448;15818;922;12370
2014;Wisconsin;4806;8261;11006;44892;3455;33886
2014;Wyoming;319;611;1343;7546;292;6203
2015;Alabama;4155;6083;9385;25187;1928;15802
2015;Alaska;886.1244;1554.8275;2944.721213;13436.356531;668.7031;10491.635318
2015;Arizona;8109;10981;13156;39287;2872;26131
2015;Arkansas;4765;6253.7;7095.1;23804.7;1488.7;16709.6
2015;California;52656;79612;90049;250344;26956;160295
2015;Colorado;4584;7746;8761;34439;3162;25678
2015;Connecticut;3483;6979;5919;30214.7;3496;24295.7
2015;Delaware;1193;1891;2063;9769;698;7706
2015;Florida;12955;22550;23888;71043;9595;47155
2015;Georgia;6563;9857;13329;45009;3294;31680
2015;Hawaii;1216;1945;2257;12873;729;10616
2015;Idaho;1186;1879;2661.6;7043.6;693;4382
2015;Illinois;9920.79937316;17210.51270877;14365.49937316;64943.41270877;7289.71333561;50577.91333561
2015;Indiana;6476;9162;10305;29342;2686;19037
2015;Iowa;2903;4978;6295;22205;2075;15910
2015;Kansas;1817;3280;3959.8;15089.4;1463;11129.6
2015;Kentucky;7517;9522;11827;30811;2005;18984
2015;Louisiana;4763;7655;8762.251803;27753.855651;2892;18991.603848
2015;Maine;1510;2535;2421;7729;1025;5308
2015;Maryland;5686;9643;11916.872684;39990.888604;3957;28074.01592
2015;Massachusetts;7647;13853;10014;58349;6206;48335
2015;Michigan;11528;16052;20717;53183;4524;32466
2015;Minnesota;6075;10717;9888;35791.48;4642;25903.48
2015;Mississippi;3555.3;4875.8;7753.4;19828.4;1320.5;12075
2015;Missouri;4511;8708;7495.12;24097.77;4197;16602.65
2015;Montana;748;1110;2189;6383;362;4194
2015;Nebraska;968.2;1854.7;2922.7;10980.1;886.5;8057.4
2015;Nevada;2249;2976;3795.4;11686.59;727;7891.19
2015;New Hampshire;936;1617;1935;5452;681;3517
2015;New Jersey;8899;13783;16079;57028;4884;40949
2015;New Mexico;4044;5173;6580;17100;1129;10520
2015;New York;29393;45669;45743;143891;16276;98148
2015;North Carolina;8752;13780.5;13159.33;43796.29;5028.5;30636.96
2015;North Dakota;673;1111;1713;7923;438;6210
2015;Ohio;7540.6;24326.8;13993.965;65096.458;16786.2;51102.493
2015;Oklahoma;3113;5367;7372;22388;2254;15016
2015;Oregon;6494;8441;10023.081955;37338.32605824;1947;27315.24410324
2015;Pennsylvania;13295;25016;25325;72904;11721;47579
2015;Puerto Rico;;0;0;0;;0
2015;Rhode Island;1500;2581;2895;8483;1081;5588
2015;South Carolina;4359;6221;7715;22615;1862;14900
2015;South Dakota;488;845;1356;3991;357;2635
2015;Tennessee;6099;10051;12052;30840;3952;18788
2015;Texas;21403;36519;42237;112598.255;15116;70361.255
2015;Utah;1586;2440;3497;12866;854;9369
2015;Vermont;923;1551;1939;5433;628;3494
2015;Virginia;4123.4;8237.28;9705.93;47051.8;4113.88;37345.87
2015;Washington;5401;8125;11501;40082;2724;28581
2015;West Virginia;2610;3530;4306;15948;920;11642
2015;Wisconsin;4968.8;8880.1;11063.2;46083.1;3911.3;35019.9
2015;Wyoming;286;568;978;5116;282;4138
2016;Alabama;4393;6354;9635;25838;1961;16203
2016;Alaska;1066.3819;1702.5728;3277.197749;10031.970628;636.1909;6754.772879
2016;Arizona;8690;11521;14167;39682;2831;25515
2016;Arkansas;5077;6555.7;7397.7;23960.524;1478.7;16562.824
2016;California;53337;81660;90690;250899;28323;160209
2016;Colorado;5382;8985;9517;36727;3603;27210
2016;Connecticut;3604;7216;6216;31842;3612;25626
2016;Delaware;1281;2048;2151;10236;767;8085
2016;Florida;13539;23273;25306;72319;9734;47013
2016;Georgia;6623;9924;13896;47534;3301;33638
2016;Hawaii;1497;2272;2563;13836;775;11273
2016;Idaho;1203;1937;2686;7334.9;734;4648.9
2016;Illinois;10706.46750794;16022.32792576;15742.76750794;54346.42792576;5315.86041782;38603.66041782
2016;Indiana;8553;11271;12448;31406;2718;18958
2016;Iowa;2997;5262;6328;23094;2265;16766
2016;Kansas;1815;3217;3635.1;15123.5;1402;11488.4
2016;Kentucky;7805;9893;12182;32699;2088;20517
2016;Louisiana;5220;8030;9256.252336;27736.415984;2810;18480.163648
2016;Maine;1605;2655;2536;8040;1050;5504
2016;Maryland;6031;9893;12034;40779;3862;28745
2016;Massachusetts;8623;15142;11047;61285;6519;50238
2016;Michigan;12220;16928;20872;54413;4708;33541
2016;Minnesota;6444;11194;10317;36798.096;4750;26481.096
2016;Mississippi;3800.8;5153;7865.8;19766.6;1352.2;11900.8
2016;Missouri;4730;9153;7676.78;24628.36;4423;16951.58
2016;Montana;909.30494399;1295.87236991;2370.29456394;6384.35804725;386.56742592;4014.06348331
2016;Nebraska;1027.4;1983.9;2988.8;11609.6;956.5;8620.8
2016;Nevada;2476;3226;4651.4;12917.9;750;8266.5
2016;New Hampshire;1197;1958;2158;5834;761;3676
2016;New Jersey;9109;14158;14354;56540;5049;42186
2016;New Mexico;4225;5412;7375;18083;1187;10708
2016;New York;31226;48095;49476;150707;16869;101231
2016;North Carolina;8771.2;13771;13007.42;44439.283;4999.8;31431.863
2016;North Dakota;730;1146;1607;7459;416;5852
2016;Ohio;6016.9;25440.5;12449.9;67450.6;19423.6;55000.7
2016;Oklahoma;3151;5340;7656;22719;2189;15063
2016;Oregon;6419;8302;10317.109216;37266.67497408;1883;26949.56575808
2016;Pennsylvania;15961;27908;27073;76354;11947;49281
2016;Puerto Rico;;0;0;0;;0
2016;Rhode Island;1497;2570;2877;8627;1073;5750
2016;South Carolina;4396;6259;7614;22948;1863;15334
2016;South Dakota;485;860;1371;4172;375;2801
2016;Tennessee;6859;10978;12567;31933;4119;19366
2016;Texas;23696;41474;45913;122754.425;17778;76841.425
2016;Utah;1655;2548;3582;13643;893;10061
2016;Vermont;971;1639;1992;5562;668;3570
2016;Virginia;4316.93630352;8869.58599787;9837.99718747;49089.9167517499;4552.64969435;39251.9195642799
2016;Washington;5296;7574;11807;41779;2278;29972
2016;West Virginia;2610;3530;4506;16172;920;11666
2016;Wisconsin;4957.04;9180.39;10759.4;45730.3;4223.35;34970.9
2016;Wyoming;295;585;978;5116;290;4138
2017;Alabama;4637;6611;9911;26174;1974;16263
2017;Alaska;1386.8675;1994.7487;3830.016556;10090.562524;607.8812;6260.545968
2017;Arizona;9039;11849;14924;41444;2810;26520
2017;Arkansas;5535;7166;7697.4;24538.5;1631;16841.1
2017;California;55413;90159;96195;270532;34746;174337
2017;Colorado;5064;8629;9121;33946;3565;24825
2017;Connecticut;3536;7283;6153;30859;3747;24706
2017;Delaware;1251;2059;2171;10675;808;8504
2017;Florida;15018;25758;26777;82285;10740;55508
2017;Georgia;6652;10221;13677;49234;3569;35557
2017;Hawaii;1611;2481;2571;14666;870;12095
2017;Idaho;1245;1992;3003.5;8803.5;747;5800
